ocid,releases/0/id,releases/0/awards/0/id,releases/0/awards/0/status,releases/0/awards/0/date,releases/0/awards/0/value/amount,releases/0/awards/0/value/currency,releases/0/awards/0/relatedLots
ocds-hu01ve-7904123,ocds-hu01ve-7904123-01,1986357,active,2020-10-29T12:00:00Z,149175,EUR,8465468530
ocds-hu01ve-7916460,ocds-hu01ve-7916460-01,2049183,active,2020-10-29T12:00:00Z,36975.44,EUR,8479824C20
ocds-hu01ve-7903821,ocds-hu01ve-7903821-01,2043691,active,2020-10-08T12:00:00Z,65866.5,EUR,8465159631
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962694,active,2020-11-04T12:00:00Z,32560.81,EUR,8473014857
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962704,active,2020-11-04T12:00:00Z,26780,EUR,8473021E1C
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962710,active,2020-11-04T12:00:00Z,43600,EUR,847302409A
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962707,active,2020-11-04T12:00:00Z,24320,EUR,8473023FC2
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962698,active,2020-11-04T12:00:00Z,34800,EUR,8473018BA3
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962696,active,2020-11-04T12:00:00Z,37786.7,EUR,84730169FD
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962690,active,2020-11-04T12:00:00Z,21035.8,EUR,8473013784
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962701,active,2020-11-04T12:00:00Z,43180,EUR,8473020D49
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962695,active,2020-11-04T12:00:00Z,32608.1,EUR,847301592A
ocds-hu01ve-7920574,ocds-hu01ve-7920574-01,1936078,active,2020-10-27T12:00:00Z,75000,EUR,8484978958
ocds-hu01ve-7902511,ocds-hu01ve-7902511-01,1824678,active,2020-11-05T12:00:00Z,3058.85,EUR,8463721385
ocds-hu01ve-7902511,ocds-hu01ve-7902511-01,1824680,active,2020-11-05T12:00:00Z,4077.64,EUR,8463716F61
ocds-hu01ve-7867193,ocds-hu01ve-7867193-01,1881495,active,2021-01-08T12:00:00Z,112530,EUR,8423105622
ocds-hu01ve-7867193,ocds-hu01ve-7867193-01,1881494,active,2021-01-08T12:00:00Z,48600,EUR,84231012D6
ocds-hu01ve-7785747,ocds-hu01ve-7785747-01,2032924,active,2021-01-21T12:00:00Z,34995.53,EUR,832660322B
ocds-hu01ve-7906692,ocds-hu01ve-7906692-01,1817012,active,2020-10-29T12:00:00Z,944129.59,EUR,8468575929
ocds-hu01ve-7917277,ocds-hu01ve-7917277-01,2089717,active,2020-11-18T12:00:00Z,45819.35,EUR,8480757E0F
ocds-hu01ve-7975867,ocds-hu01ve-7975867-01,1845944,active,2020-12-18T12:00:00Z,143934,EUR,85477767E5
ocds-hu01ve-7888589,ocds-hu01ve-7888589-01,1888894,active,2020-11-12T12:00:00Z,332579.1,EUR,8447408D98
ocds-hu01ve-7905740,ocds-hu01ve-7905740-01,1853069,active,2020-12-15T12:00:00Z,169108.86,EUR,84673294EF
ocds-hu01ve-7905740,ocds-hu01ve-7905740-01,1855031,active,2020-12-15T12:00:00Z,32503.58,EUR,846730946E
ocds-hu01ve-7907603,ocds-hu01ve-7907603-01,2098618,active,2020-10-12T12:00:00Z,79600,EUR,846965004A
ocds-hu01ve-7823437,ocds-hu01ve-7823437-01,1813311,active,2020-10-07T12:00:00Z,1299954.57,EUR,8372514120
ocds-hu01ve-7900682,ocds-hu01ve-7900682-01,1943350,active,2020-10-09T12:00:00Z,160000,EUR,8461482BD4
ocds-hu01ve-7923021,ocds-hu01ve-7923021-01,1844769,active,2020-11-23T12:00:00Z,2980,EUR,848780349D
ocds-hu01ve-7923021,ocds-hu01ve-7923021-01,1845412,active,2020-12-16T12:00:00Z,4000,EUR,8487813CDB
ocds-hu01ve-7964811,ocds-hu01ve-7964811-01,1941583,active,2020-10-30T12:00:00Z,596700,EUR,8536245C35
ocds-hu01ve-7906026,ocds-hu01ve-7906026-01,2069042,active,2020-11-05T12:00:00Z,122867.67,EUR,8467720798
ocds-hu01ve-7889675,ocds-hu01ve-7889675-01,1895586,active,2020-12-07T12:00:00Z,56338.25,EUR,84485235BB
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825456,active,2020-10-01T12:00:00Z,7245,EUR,84457949AF
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825494,active,2020-10-01T12:00:00Z,35400,EUR,8445855C05
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825531,active,2020-10-01T12:00:00Z,99900,EUR,844588117D
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825483,active,2020-10-01T12:00:00Z,105450,EUR,8445836C57
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824978,active,2020-10-01T12:00:00Z,26091,EUR,8445742EC4
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824941,active,2020-10-01T12:00:00Z,1754.85,EUR,8445666011
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825542,active,2020-10-01T12:00:00Z,80250,EUR,8445904477
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825501,active,2020-10-01T12:00:00Z,68400,EUR,844587193A
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824906,active,2020-10-01T12:00:00Z,2160,EUR,8445642C3F
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824966,active,2020-10-01T12:00:00Z,55530,EUR,8445727267
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825477,active,2020-10-01T12:00:00Z,3360,EUR,8445815B03
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825861,active,2020-10-01T12:00:00Z,14850,EUR,84460637AC
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825016,active,2020-10-01T12:00:00Z,11142,EUR,8445777BA7
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1826020,active,2020-10-01T12:00:00Z,51600,EUR,84460973BC
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824852,active,2020-10-01T12:00:00Z,46008,EUR,84455765CA
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825771,active,2020-10-01T12:00:00Z,56190.6,EUR,84459434A6
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824890,active,2020-10-01T12:00:00Z,50836.92,EUR,84456280B5
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825986,active,2020-10-01T12:00:00Z,82500,EUR,8446088C4C
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825800,active,2020-10-01T12:00:00Z,4128,EUR,8446034FBB
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825594,active,2020-10-01T12:00:00Z,10400,EUR,8445915D88
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825819,active,2020-10-01T12:00:00Z,5085,EUR,844604372B
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824796,active,2020-10-01T12:00:00Z,81570.3,EUR,84455521FD
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824928,active,2020-10-01T12:00:00Z,123060,EUR,84456567CE
